school_year,system_id,school_name,measure_1a_points,measure_1c_points,measure_1d_points,measure_1e_points,measure_2a_points,measure_2b_points,financial_section_toal,designation
2019-2020,7830618,SAIL Charter Academy - School for Arts-Infused Learning,15,15,10,10,10,0,75,Approaches
2022-2023,7830614,Liberty Tech Charter School,15,15,15,10,15,15,100,Meets
2020-2021,7830630,Baconton Community Charter School,15,15,15,10,15,15,100,Meets
2022-2023,7830643,Amana Academy West Atlanta,15,0,15,10,15,15,85,Meets
2019-2020,7830612,Southwest Georgia S.T.E.M. Charter Academy,15,15,15,10,15,15,95,Meets
2019-2020,7820121,Utopian Academy for the Arts Charter School,15,0,15,10,10,15,80,Meets
2019-2020,7820412,Georgia Connections Academy,15,10,15,10,15,15,95,Meets
2020-2021,7830410,Atlanta Heights Charter School,0,15,15,10,10,0,65,Does Not Meet
2019-2020,7820110,Odyssey Charter School,15,10,10,10,15,15,90,Meets
2022-2023,7830615,Genesis Innovation Academy for Boys,15,0,15,10,15,15,85,Meets
2021-2022,7830410,Atlanta Heights Charter School,0,10,15,10,10,0,60,Does Not Meet
2019-2020,7830210,Pataula Charter Academy,15,10,10,10,15,15,90,Meets
2022-2023,7830625,Yi Hwang Academy of Language Excellence,15,15,15,10,15,15,100,Meets
2021-2022,7830612,Southwest Georgia S.T.E.M. Charter Academy,15,10,15,10,15,15,95,Meets
2021-2022,7830626,Furlow Charter School,15,15,15,10,15,15,100,Meets
2022-2023,7830626,Furlow Charter School,15,15,15,10,15,15,100,Meets
2022-2023,7820616,Georgia School for Innovation and the Classics,15,15,15,10,15,15,100,Meets
2021-2022,7830613,Brookhaven Innovation Academy,15,15,10,10,15,15,95,Meets
2020-2021,7830617,Resurgence Hall Charter School,15,15,10,10,15,15,95,Meets
2021-2022,7820615,Scintilla Charter Academy,15,15,10,10,15,15,95,Meets
2021-2022,7830633,D.E.L.T.A. STEAM Academy,15,0,15,10,15,15,85,Meets
2022-2023,7830632,Atlanta Unbound Academy,15,0,15,10,15,15,85,Meets
2022-2023,7830628,Ethos Classical Charter School,15,15,15,10,15,15,100,Meets
2021-2022,7820110,Odyssey Charter School,15,10,15,10,15,15,95,Meets
2021-2022,7830310,Fulton Leadership Academy,15,0,10,10,15,0,60,Does Not Meet
2019-2020,7830619,International Academy of Smyrna,15,10,0,0,10,0,50,Does Not Meet
2022-2023,7820612,Ivy Preparatory Academy at Kirkwood,15,0,10,10,15,0,65,Does Not Meet
2021-2022,7830615,Genesis Innovation Academy for Boys,15,0,15,10,15,15,85,Meets
