school_year,system_id,school_name,grade_band,measure,measurename,score_type,scsc_school_score,school_comparison_score,district_comparison_score,designation
2022-2023,7830310,Fulton Leadership Academy,Whole School Score,2a,Content Mastery,percentage,36.82656826568266,40.23690036900369,67.52546125461254,N
2022-2023,7830611,Cirrus Charter Academy,Whole School Score,2a,Content Mastery,percentage,26.772862453531594,29.160594795539026,40.883643122676574,N
2022-2023,7830636,Northwest Classical Academy,M,1c,Grade Band Score,percentage,71.395,76.0968640350877,76.61824561403508,N
2022-2023,7830628,Ethos Classical Charter School,Whole School Score,2a,Content Mastery,percentage,62.399999999999956,42.30694444444444,64.93032407407406,Y
2020-2021,7820120,Georgia Cyber Academy,H,1f,GaDOE Achievement,percentage,58.79,48.872284505552614,"",Y
2022-2023,7820110,Odyssey Charter School,M,1d,Value-Add,decimal,0.059653785079717636,-0.040989653920405544,-0.039698361593764275,Y
2020-2021,7820615,Scintilla Charter Academy,M,1a-na,Content Mastery Non-Adjusted,percentage,69.736842,49.68846837391584,"",Y
2021-2022,7820110,Odyssey Charter School,E,1a,Content Mastery,percentage,60.1,66.2,72.9,N
2022-2023,7830641,Resurgence Hall Middle Academy,M,1d,Value-Add,decimal,0.01318921148777008,0.049435646142228507,0.01318921148777008,N
2022-2023,7830310,Fulton Leadership Academy,M,1a,Content Mastery,percentage,40.9,39.672463768115946,66.23840579710145,Y
2021-2022,7830619,International Academy of Smyrna,E,1a,Content Mastery,percentage,53.2,52.0,72.7,Y
2022-2023,7830618,SAIL Charter Academy - School for Arts-Infused Learning,Whole School Score,2c,Grade Band Score,percentage,68.82450511945395,78.92938566552903,82.58524744027304,N
2022-2023,7820412,Georgia Connections Academy,M,1c,Grade Band Score,percentage,69.94,69.01063492739753,70.09154037267088,Y
2022-2023,7820617,Dubois Integrity Academy,Whole School Score,2a,Content Mastery,percentage,45.61769911504423,37.0,40.68679941002951,Y
2022-2023,7830630,Baconton Community Charter School,H,1c,Grade Band Score,percentage,77.97500000000001,51.47576595744681,54.45438297872341,Y
2022-2023,7820617,Dubois Integrity Academy,Whole School Score,2d,Value-Add,decimal,0.037186719477176666,0.026285858681092122,0.016993804209050722,N
2020-2021,7830616,Genesis Innovation Academy for Girls,M,1f,GaDOE Achievement,percentage,50.495000000000005,32.07969565217391,"",Y
2022-2023,7830624,Spring Creek Charter Academy,Whole School Score,2d,Value-Add,decimal,-0.09770184755325317,-0.020516480202786624,-0.012817429311326123,N
2021-2022,7830630,Baconton Community Charter School,M,1d,Value-Add,decimal,-0.017,0.0533,"",N
2020-2021,7830612,Southwest Georgia S.T.E.M. Charter Academy,M,1a-na,Content Mastery Non-Adjusted,percentage,45.6125434902523,25.75383323025952,"",Y
2020-2021,7830623,Academy For Classical Education,M,1f,GaDOE Achievement,percentage,88.185,40.75399836244542,"",Y
2021-2022,7830210,Pataula Charter Academy,E,1d,Value-Add,decimal,0.037,0.0002,"",S
2021-2022,7830410,Atlanta Heights Charter School,E,1d,Value-Add,decimal,-0.0761,0.1718,"",N
2022-2023,7830632,Atlanta Unbound Academy,E,1d,Value-Add,decimal,"","","",""
2022-2023,7820110,Odyssey Charter School,E,1a,Content Mastery,percentage,65.3,64.59964412811388,72.08896797153027,S
2022-2023,7830621,SLAM Academy of Atlanta,Whole School Score,2b,Progress,percentage,72.24064171122996,84.0620320855615,88.16577540106951,N
2022-2023,7830636,Northwest Classical Academy,M,1a,Content Mastery,percentage,72,70.57412280701755,69.6171052631579,Y
2020-2021,7830103,Statesboro STEAM Academy,M,1a-na,Content Mastery Non-Adjusted,percentage,47.875548379934216,41.39660080596309,"",Y
2021-2022,7830611,Cirrus Charter Academy,E,1d,Value-Add,decimal,0.0261,0.0291,"",S
2022-2023,7830611,Cirrus Charter Academy,Whole School Score,2c,Grade Band Score,percentage,57.64126394052044,55.972899628252776,60.49124535315984,Y
2022-2023,7820614,International Charter School of Atlanta,M,1d,Value-Add,decimal,-0.056909047067165375,0.002471622488428693,-0.00034841054048229125,N
2022-2023,7830410,Atlanta Heights Charter School,Whole School Score,2c,Grade Band Score,percentage,71.17725247524756,61.4668193069307,73.41667698019805,Y
2020-2021,7820412,Georgia Connections Academy,H,1f,GaDOE Achievement,percentage,70.89,50.880743338008415,"",Y
2022-2023,7830624,Spring Creek Charter Academy,E,1b,Progress,percentage,96.7,87.80212765957447,78.51453900709221,Y
2022-2023,7820612,"Ivy Preparatory Academy, Inc",M,1b,Progress,percentage,82.7,80.25059523809526,81.83333333333333,Y
2020-2021,7830410,Atlanta Heights Charter School,M,1a-na,Content Mastery Non-Adjusted,percentage,TFS,15.430277583972192,"",""
2022-2023,7830632,Atlanta Unbound Academy,M,1b,Progress,percentage,94.5,78.86979166666667,82.76041666666667,Y
2022-2023,7830103,Statesboro STEAM Academy,H,1c,Grade Band Score,percentage,60.495000000000005,67.73912087912086,70.32,N
2022-2023,7830621,SLAM Academy of Atlanta,M,1a,Content Mastery,percentage,38.7,33.51666666666666,52.0,Y
2022-2023,7820120,Georgia Cyber Academy,M,1c,Grade Band Score,percentage,66.57,68.0166399769136,69.6114984361672,S
2022-2023,7830611,Cirrus Charter Academy,E,1a,Content Mastery,percentage,25.1,28.752234636871506,42.63351955307262,N
2022-2023,7830616,Genesis Innovation Academy for Girls,E,1c,Grade Band Score,percentage,80.29499999999999,67.533490990991,76.77916666666668,Y
2022-2023,7830637,DeKalb Brilliance Academy,Whole School Score,2a,Content Mastery,percentage,"",38.05112359550561,55.33483146067416,Y
2021-2022,7830619,International Academy of Smyrna,E,1d,Value-Add,decimal,0.0098,0.0099,"",S
2022-2023,7830632,Atlanta Unbound Academy,E,1a,Content Mastery,percentage,"",43.33229813664595,64.188198757764,Y
2021-2022,7830618,SAIL Charter Academy - School for Arts-Infused Learning,M,1d,Value-Add,decimal,-0.2524,-0.0918,"",N
2022-2023,7830626,Furlow Charter School,E,1a,Content Mastery,percentage,57.4,33.68344370860927,33.549006622516565,Y
2022-2023,7830619,International Academy of Smyrna,Whole School Score,2a,Content Mastery,percentage,61,52.93915662650604,73.16114457831326,Y
2022-2023,7830624,Spring Creek Charter Academy,H,1c,Grade Band Score,percentage,"",71.08583333333333,68.03450000000001,Y
2021-2022,7830626,Furlow Charter School,Whole School Score,2a,Content Mastery,percentage,54.286038394415364,28.71341706628014,"",Y
2020-2021,7830613,Brookhaven Innovation Academy,E,1a-na,Content Mastery Non-Adjusted,percentage,51.64909720886364,32.39667160854715,"",Y
2022-2023,7820615,Scintilla Charter Academy,Whole School Score,2d,Value-Add,decimal,-0.016831297427415848,-0.006023120204190491,0.05147634128206846,N
2020-2021,7820616,Georgia School for Innovation and the Classics,M,1a-a,Content Mastery Adjusted,percentage,68.6223777085427,19.398095299443945,"",Y
2022-2023,7830633,D.E.L.T.A. STEAM Academy,Whole School Score,2b,Progress,percentage,82.49999999999997,81.57152542372879,84.14813559322033,Y
2022-2023,7830611,Cirrus Charter Academy,M,1b,Progress,percentage,93.8,73.13722222222222,72.98888888888888,Y
2022-2023,7830627,Atlanta SMART Academy,E,1b,Progress,percentage,75,88.1179487179487,88.88717948717948,N
2022-2023,7830614,Liberty Tech Charter Academy,Whole School Score,2d,Value-Add,decimal,0.09799613803625107,0.03509046644848013,0.022579673101063236,Y
2022-2023,7830634,Georgia Fugees Academy Charter School,H,1d,Value-Add,decimal,0.17874038219451904,0.07849972893018275,0.12201872508740053,N
2022-2023,7820616,Georgia School for Innovation and the Classics,H,1c,Grade Band Score,percentage,56.315,52.183294930875576,55.99002304147466,Y
2022-2023,7830310,Fulton Leadership Academy,Whole School Score,2b,Progress,percentage,68.23505535055351,81.26273062730627,87.0940959409594,N
2021-2022,7830612,Southwest Georgia S.T.E.M. Charter Academy,M,1a,Content Mastery,percentage,46.3,35.7,35.8,Y
2022-2023,7830210,Pataula Charter Academy,Whole School Score,2d,Value-Add,decimal,0.006900396663695574,0.128514568852097,0.13364954328062595,N
2020-2021,7830610,Coweta Charter Academy,M,1f,GaDOE Achievement,percentage,70.465,55.40043969849246,"",Y
2022-2023,7830625,Yi Hwang Academy of Language Excellence,Whole School Score,2b,Progress,percentage,100.00000000000007,90.24584615384614,88.6649230769231,Y
2022-2023,7830624,Spring Creek Charter Academy,E,1a,Content Mastery,percentage,61.2,62.06702127659575,58.20851063829788,Y
2022-2023,7830610,Coweta Charter Academy,Whole School Score,2a,Content Mastery,percentage,70.28729794066987,62.7773790124402,65.62236842105264,Y
2021-2022,7830612,Southwest Georgia S.T.E.M. Charter Academy,M,1b,Progress,percentage,86.1,79.8,"",Y
2022-2023,7830627,Atlanta SMART Academy,M,1d,Value-Add,decimal,-0.012399955652654171,0.01232062695271452,0.016139677143655717,N
2021-2022,7820612,Ivy Preparatory Academy,E,1d,Value-Add,decimal,-0.031,0.162,"",N
2022-2023,7830641,Resurgence Hall Middle Academy,Whole School Score,2a,Content Mastery,percentage,80,46.054878048780495,74.81219512195122,Y
2022-2023,7830633,D.E.L.T.A. STEAM Academy,Whole School Score,2d,Value-Add,decimal,0.07273032516241074,-0.0316203515703819,-0.023862669797381386,N
2021-2022,7820617,Dubois Integrity Academy,Whole School Score,2a,Content Mastery,percentage,42.19873417721519,32.37646006110869,"",Y
2022-2023,7830310,Fulton Leadership Academy,H,1c,Grade Band Score,percentage,55.835,65.26906015037595,80.16981203007518,N
2021-2022,7830616,Genesis Innovation Academy for Girls,E,1a,Content Mastery,percentage,62.5,37.9,54.8,Y
2022-2023,7830637,DeKalb Brilliance Academy,E,1d,Value-Add,decimal,"","","",""
2022-2023,7830627,Atlanta SMART Academy,Whole School Score,2c,Grade Band Score,percentage,69.06559999999998,64.9922,72.20113333333333,Y
2022-2023,7830617,Resurgence Hall Charter School,Whole School Score,2b,Progress,percentage,99.60000000000002,85.43613053613052,90.39020979020978,Y
2020-2021,7830632,Atlanta Unbound Academy,M,1f,GaDOE Achievement,percentage,TFS,35.18848214285714,"",""
2022-2023,7830636,Northwest Classical Academy,E,1b,Progress,percentage,81.5,87.29175946547888,86.05100222717147,N
2020-2021,7830616,Genesis Innovation Academy for Girls,E,1a-a,Content Mastery Adjusted,percentage,TFS,10.578986352240232,"",""
2020-2021,7820412,Georgia Connections Academy,H,1a-na,Content Mastery Non-Adjusted,percentage,61.72249675,43.267657990971244,"",Y
2022-2023,7820616,Georgia School for Innovation and the Classics,M,1a,Content Mastery,percentage,71.6,31.345418326693228,35.17211155378486,Y
2021-2022,7820110,Odyssey Charter School,M,1a,Content Mastery,percentage,69.6,61.8,65.8,Y
2020-2021,7830633,D.E.L.T.A. STEAM Academy,E,1f,GaDOE Achievement,percentage,56.81,43.012886458333334,"",Y
2022-2023,7830103,Statesboro STEAM Academy,E,1c,Grade Band Score,percentage,"",64.81882352941176,75.88,Y
2022-2023,7830616,Genesis Innovation Academy for Girls,Whole School Score,2b,Progress,percentage,87.10555555555565,82.94166666666663,86.92746913580247,Y
2021-2022,7830623,Academy For Classical Education,M,1a,Content Mastery,percentage,94.1,44.4,38.7,Y
