school_year,system_id,school_name,grade_band,measure,measurename,score_type,scsc_school_score,school_comparison_score,district_comparison_score,designation
2022-2023,7830643,Amana Academy West Atlanta,Whole School Score,2d,Value-Add,decimal,"","","",""
2022-2023,7830210,Pataula Charter Academy,E,1a,Content Mastery,percentage,60.9,41.30919117647059,41.319117647058825,Y
2020-2021,7830616,Genesis Innovation Academy for Girls,M,1a-na,Content Mastery Non-Adjusted,percentage,TFS,26.070772639309556,"",""
2022-2023,7830613,Brookhaven Innovation Academy,M,1a,Content Mastery,percentage,59.1,52.445112781954904,64.77368421052633,Y
2021-2022,7830626,Furlow Charter School,M,1d,Value-Add,decimal,0.007,0.1672,"",N
2020-2021,7820120,Georgia Cyber Academy,E,1a-a,Content Mastery Adjusted,percentage,41.586864989259055,33.3762196387446,"",Y
2022-2023,7830634,Georgia Fugees Academy Charter School,Whole School Score,2b,Progress,percentage,89.5613259668508,80.16298342541435,81.42872928176794,Y
2022-2023,7830410,Atlanta Heights Charter School,Whole School Score,2d,Value-Add,decimal,0.05765586346387863,0.03722095605280629,0.010738900726209977,N
2020-2021,7830210,Pataula Charter Academy,H,1a-na,Content Mastery Non-Adjusted,percentage,TFS,13.85871349301676,"",""
2022-2023,7830626,Furlow Charter School,H,1b,Progress,percentage,42.7,93.14331210191082,93.78025477707006,N
2021-2022,7830633,D.E.L.T.A. STEAM Academy,E,1a,Content Mastery,percentage,59.9,50.9,63.6,Y
2022-2023,7830643,Amana Academy West Atlanta,Whole School Score,2c,Grade Band Score,percentage,"",70.90282857142856,76.30905714285713,Y
2020-2021,7820120,Georgia Cyber Academy,M,1f,GaDOE Achievement,percentage,64.29625,47.006905177890715,"",Y
2022-2023,7820617,Dubois Integrity Academy,Whole School Score,2c,Grade Band Score,percentage,71.97601769911503,67.0,71.97093657817109,Y
2021-2022,7820617,Dubois Integrity Academy,M,1b,Progress,percentage,100,76.8,"",Y
2022-2023,7820120,Georgia Cyber Academy,M,1a,Content Mastery,percentage,58.4,50.753206235484825,55.63667898777369,Y
2022-2023,7830614,Liberty Tech Charter Academy,M,1b,Progress,percentage,100,87.48592592592593,86.54222222222222,Y
2020-2021,7830618,SAIL Charter Academy,M,1a-na,Content Mastery Non-Adjusted,percentage,55.664335580113644,55.55146729147363,"",S
2021-2022,7830630,Baconton Community Charter School,E,1a,Content Mastery,percentage,59.5,37.9,38.0,Y
2022-2023,7820212,Cherokee Charter Academy,M,1c,Grade Band Score,percentage,78.25999999999999,70.83119999999998,70.47322500000001,Y
2022-2023,7830628,Ethos Classical Charter School,E,1a,Content Mastery,percentage,62.4,42.30694444444444,64.93032407407406,Y
2020-2021,7830630,Baconton Community Charter School,H,1a-na,Content Mastery Non-Adjusted,percentage,64.231149375,20.5970077404943,"",Y
2022-2023,7820121,Utopian Academy for the Arts Charter School,Whole School Score,2d,Value-Add,decimal,-0.04405555874109268,0.02907889453399548,0.0161613997661334,N
