school_name,school_year,system_id,enrolled_total,enrolled_elementary,enrolled_middle,enrolled_high
SLAM Academy of Atlanta,2021-2022,7830621,75,61,14,0
Spring Creek Charter Academy,2020-2021,7830624,333,260,73,0
Brookhaven Innovation Academy,2019-2020,7830613,485,377,108,0
Cirrus Charter Academy,2020-2021,7830611,520,346,174,0
Atlanta Heights Charter School,2019-2020,7830410,690,476,214,0
Genesis Innovation Academy for Boys,2019-2020,7830615,299,206,93,0
Georgia Fugees Academy Charter School,2021-2022,7830634,168,0,120,48
International Charter Academy of Georgia,2020-2021,7830620,173,173,0,0
International Charter Academy of Georgia,2019-2020,7830620,160,160,0,0
Georgia Connections Academy (Virtual),2019-2020,7820412,4212,157,1918,2137
Dubois Integrity Academy,2021-2022,7820617,1106,966,140,0
International Academy of Smyrna,2022-2023,7830619,318,318,0,0
Pataula Charter Academy,2021-2022,7830210,574,267,138,169
Spring Creek Charter Academy,2019-2020,7830624,270,238,32,0
SAIL Charter Academy - School for Arts-Infused Learning,2020-2021,7830618,555,422,133,0
Dubois Integrity Academy,2020-2021,7820617,883,883,0,0
Utopian Academy for the Arts Charter School,2021-2022,7820121,348,0,348,0
International Charter Academy of Georgia,2021-2022,7830620,169,169,0,0
Georgia School for Innovation and the Classics,2021-2022,7820616,846,439,212,195
Statesboro STEAM Academy,2019-2020,7830103,170,0,78,92
Baconton Community Charter School,2022-2023,7830630,890,384,231,231
Atlanta Heights Charter School,2022-2023,7830410,681,475,206,0
Genesis Innovation Academy for Girls,2019-2020,7830616,319,230,89,0
Coweta Charter Academy,2019-2020,7830610,775,615,160,0
SLAM Academy of Atlanta,2022-2023,7830621,157,121,36,0
Brookhaven Innovation Academy,2021-2022,7830613,490,371,119,0
Brookhaven Innovation Academy,2020-2021,7830613,515,392,123,0
Liberty Tech Charter Academy,2020-2021,7830614,411,280,131,0
Georgia Fugees Academy Charter School,2020-2021,7830634,113,0,75,38
Liberty Tech Charter Academy,2019-2020,7830614,418,281,137,0
Odyssey Charter School,2019-2020,7820110,333,233,100,0
International Charter Academy of Georgia,2022-2023,7830620,200,200,0,0
Fulton Leadership Academy,2021-2022,7830310,247,0,137,110
Odyssey Charter School,2020-2021,7820110,332,229,103,0
Genesis Innovation Academy for Boys,2020-2021,7830615,367,241,111,15
Northwest Classical Academy,2022-2023,7830636,640,431,209,0
Odyssey Charter School,2021-2022,7820110,328,230,98,0
Southwest Georgia S.T.E.M. Charter Academy,2021-2022,7830612,390,218,107,44
Atlanta Unbound Academy,2022-2023,7830632,241,149,92,0
Yi Hwang Academy of Language Excellence,2021-2022,7830625,215,215,0,0
Furlow Charter School,2020-2021,7830626,563,298,139,126
International Charter School of Atlanta,2020-2021,7820614,808,683,125,0
Georgia School for Innovation and the Classics,2022-2023,7820616,969,507,246,216
SLAM Academy of Atlanta,2019-2020,7830621,84,84,0,0
Ivy Preparatory Academy  Inc,2020-2021,7820612,498,310,188,0
Genesis Innovation Academy for Girls,2022-2023,7830616,306,210,96,0
Scintilla Charter Academy,2021-2022,7820615,602,529,73,0
Georgia School for Innovation and the Classics,2020-2021,7820616,745,404,202,139
Ethos Classical Charter School,2022-2023,7830628,409,409,0,0
Atlanta Heights Charter School,2021-2022,7830410,691,474,217,0
Genesis Innovation Academy for Girls,2021-2022,7830616,333,211,97,25
International Charter School of Atlanta,2022-2023,7820614,842,662,180,0
Cirrus Charter Academy,2021-2022,7830611,522,354,168,0
Atlanta Unbound Academy,2021-2022,7830632,177,114,63,0
Georgia Cyber Academy,2021-2022,7820120,10613,4926,2861,2826
International Charter School of Atlanta,2019-2020,7820614,764,652,112,0
Atlanta SMART Academy,2022-2023,7830627,209,37,172,0
